no,result,scramble,time,algs,edges,corners,flips,twists,solved_edges,solved_corners,edge_breaks,corner_breaks
28693,20.26,U L B' R D2 F R L U F2 U' R2 B2 U' B2 U D2 B2 R2 U2 B Fw,2021-01-05 15:27:53,11,13,7,0,0,1,0,3,0
28695,22.73,F2 R F' U B2 F2 D' B2 L2 R2 U' R2 F2 U2 B' L B' U R U2 B' Fw,2021-01-05 15:40:08,11,12,8,1,0,0,1,2,2
28697,24.75,L D L' D2 L D2 U2 L F2 D2 R2 F2 L U' F' U F2 D' R U' Rw',2021-01-05 15:41:44,11,11,5,0,2,0,1,0,1
28698,21.25,D2 L2 D2 B2 L F2 U2 L' F2 L U2 F2 D R2 F' R2 B D' U' R U2 Rw Uw,2021-01-05 15:42:39,11,11,9,0,0,1,0,1,2
28701,24.07,F R2 D U2 R2 B2 U L2 B2 U R2 B2 F R2 D L2 U' R U F Rw Uw2,2021-01-05 15:44:37,13,13,7,1,1,0,0,3,1
28704,23.79,F D' B2 U R2 U2 L2 B2 U R2 B2 R2 L F2 U2 B U F2 R U Fw,2021-01-05 15:46:34,11,14,8,0,0,0,0,3,1
28705,21.97,L2 U' B2 U' L2 U2 F2 R2 B2 U' B2 L2 F' R' B U' F L R F U Rw Uw',2021-01-05 15:47:08,10,10,4,1,2,0,1,0,0
28707,18.37,L2 F2 U2 B D2 F U2 L2 R2 F2 D2 B' U' L' B' U' F R U F2 R2,2021-01-05 15:48:40,9,12,6,0,0,0,1,1,0
28709,21.93,L2 D B2 R2 L2 B U2 F' R B2 R2 U2 L2 D2 F2 U B2 U' R2 Fw' Uw',2021-01-05 15:50:00,11,10,8,2,0,1,1,2,2
28711,21.02,D2 R B2 F2 R2 U2 F2 L' B2 D2 B2 R D F2 L' U F R2 D' U Fw' Uw,2021-01-05 15:51:23,11,11,9,0,0,2,0,2,2
28712,22.33,B2 U2 L D2 F2 R' F2 R' B2 R U2 F' U' B' L' R2 B U2 R' U' Rw Uw',2021-01-05 15:51:57,10,11,7,0,0,0,0,0,0
28714,22.98,R' B L' F2 D2 L2 F2 U2 L' U2 L' D2 U2 R2 B' L B2 F' D R D2 Fw',2021-01-05 15:53:40,11,11,5,0,2,0,0,0,0
28715,23.39,D' F' R2 D' L2 R2 B2 D L2 R2 D2 L2 U F D R D' L2 U2 B2 Uw',2021-01-05 15:54:47,11,12,8,0,1,0,0,1,2
28716,21.44,L U' R D2 R2 D F2 R2 B' R2 B L2 B2 R2 D2 B D' L Fw Uw2,2021-01-05 15:55:55,10,12,6,0,1,1,0,2,0
28717,21.09,L' F2 R2 U2 L2 F' D2 U2 R2 F' L2 U2 D B U2 F R' D2 L' Uw',2021-01-05 15:58:39,12,13,5,0,2,0,0,2,0
28719,24.63,R' F' D' R L U B2 D2 F' R2 D2 R L2 D2 B2 R F2 L D2 F2 Rw' Uw',2021-01-05 16:00:07,11,10,8,2,0,0,0,1,1
28720,22.34,L F2 L F2 U2 L2 R' F2 U2 R2 D2 R F' D R B2 L2 F R' F2 R2 Rw' Uw',2021-01-05 16:00:45,11,11,7,0,1,1,0,1,1
28721,27.73,B2 F2 L B2 L' U2 L' B2 R D2 F2 R2 D F D2 B D R' B2 U Fw' Uw,2021-01-05 16:01:29,11,12,6,0,2,1,0,2,1
28722,22.91,F' L2 R2 B R2 F2 U2 F' D2 L F2 D' F D2 L R D L Rw2 Uw2,2021-01-05 16:02:09,11,12,8,0,1,0,0,1,2
28723,22.47,F B' U' R F2 B2 R' F2 U B2 U2 R2 U2 L2 B2 U B2 D2 B' D Fw' Uw2,2021-01-05 16:02:42,11,12,6,0,2,0,0,1,1
28724,22.96,L' F' L2 F' R2 B L2 D2 F U2 F' L2 R2 D' R F' R2 B' D' U2 L' Fw Uw,2021-01-05 16:03:16,12,12,6,0,3,1,0,2,2
28725,22.04,L F' L' U2 L2 R' B2 U2 R B2 R' D2 R' U2 D R2 B' D2 L B' L Fw Uw2,2021-01-05 16:03:50,11,11,7,0,1,0,0,0,1
28728,21.89,D2 F R' L' D' R' U B2 D2 R2 L D2 L D2 F2 L B2 U2 L' B Rw2 Uw,2021-01-05 16:06:23,10,12,8,0,0,0,0,1,1
28732,23.2,R' U' D' F' D' F L' B' D' F2 U2 B' L2 D2 R2 D2 B' R2 L2 Rw,2021-01-05 16:08:44,11,14,8,0,0,0,0,3,1
28733,26.5,D F' U L2 U2 F R2 F' L2 U2 B L2 F2 U2 R' F' D' L U B D2 Uw',2021-01-05 16:09:50,13,11,5,1,3,0,0,1,1
28735,21.0,R' F D B2 F2 U' B2 U2 B2 L2 D U F2 L' B L R D R' F' L' Rw Uw',2021-01-05 16:11:28,10,12,6,0,1,1,0,2,0
28738,21.26,R' B U2 F2 R B2 L2 F2 L F2 D2 L' D2 R2 B' D2 L D B' L2 F2 Rw2 Uw',2021-01-05 16:17:03,10,12,6,1,0,1,1,3,0
28739,24.75,D R2 B2 L2 F2 R2 D2 U R2 U' B2 U' R' B U2 L D F R2 B2 Uw2,2021-01-05 16:39:33,12,13,7,0,1,0,0,2,1
28741,22.12,F L' D2 R2 B2 L D2 F2 R U2 L2 F' D R B U B D' R2 Uw',2021-01-05 16:42:00,10,12,8,0,0,0,0,1,1
28743,24.49,B2 D2 R2 D F2 U' F2 R2 U' B2 U L' R F' U2 R' F2 R2 D U' F Rw' Uw2,2021-01-05 16:44:17,11,12,6,0,2,0,0,1,1
